group,key,value
Architecture,Pattern,Router → Service → Repository/Model
Architecture,DI,Depends for shared dependencies DB session settings
Architecture,Async,Async endpoints with async DB drivers
Testing,Unit,pytest with httpx.AsyncClient for endpoints
Testing,Integration,TestClient with SQLite in-memory or testcontainers
Testing,E2E,Playwright for full user flows
API,REST,Resource routers Pydantic models for request/response
API,Validation,Pydantic BaseModel with Field constraints
API,Documentation,Auto-generated OpenAPI at /docs and /redoc
API,Versioning,APIRouter prefix /v1/ or header-based
Security,Auth,OAuth2PasswordBearer with JWT tokens
Security,Input,Depends(get_current_user) for protected routes
Security,CORS, CORSMiddleware with explicit origins
Database,ORM,SQLAlchemy 2.0 with async session or TortoiseORM
Database,Migrations,Alembic with auto-generate revision
Database,Connection,Settings-driven URL from env
Evidence,Commands,pytest mypy ruff black
Evidence,Runtime,uvicorn logs structured logging
BestPractices,Async,Use async endpoints with async DB drivers
BestPractices,Schemas,Pydantic models for every request response
BestPractices,DI,Depends for shared resources DB settings cache
BestPractices,Validation,Pydantic Field constraints auto-documented
BestPractices,Testing,pytest with httpx.AsyncClient or TestClient
AntiPatterns,Blocking I/O,Synchronous file or DB calls in async endpoints
AntiPatterns,No Schemas,Using dict or Any instead of Pydantic models
AntiPatterns,Business in Endpoints,Complex logic in route handlers
AntiPatterns,Missing Auth,No OAuth2 or JWT on sensitive endpoints
AntiPatterns,No Migrations,Schema changes without Alembic migrations
Verification,Type Check,mypy or pyright
Verification,Lint,ruff or flake8 black
Verification,Tests,pytest --cov
Verification,Build,docker build or pip install -e ".[test]"
Verification,Security,bandit safety check
