group,key,value
Schema,Design,Entity decorators as schema definition
Schema,Relations,@OneToMany @ManyToOne @JoinColumn
Schema,Indexes,@Index @Unique decorators
Schema,Migrations,TypeORM migrations CLI
Query,Optimization,QueryBuilder for complex queries
Query,Raw,Raw queries parameterized only
Query,N+1,Use relations or batch loading
Security,Access,Connection from TypeORM config env-driven
Security,Validation,Class-validator decorators on DTOs
Evidence,Commands,typeorm migration:run typeorm schema:sync
Evidence,Runtime,Query logging with slow query detection
BestPractices,Schema,Entity decorators as schema definition
BestPractices,Relations,@OneToMany @ManyToOne with lazy loading care
BestPractices,Indexes,@Index @Unique decorators
BestPractices,Migrations,TypeORM migrations CLI version-controlled
BestPractices,Connection,Env-driven TypeORM config
AntiPatterns,Circular Relations,Bidirectional relations without care
AntiPatterns,No Indexes,Missing @Index on query fields
AntiPatterns,Select All,find without select option
AntiPatterns,No Migrations,Schema changes without migrations
AntiPatterns,Raw Queries,Excessive use of query without parameters
Verification,Schema,typeorm schema:log
Verification,Types,tsc --noEmit
Verification,Migrations,typeorm migration:show
Verification,Queries,query logging slow query detection
Verification,Security,connection string from env
