Role,Senior Release Engineer performing readiness verification
SubTasks,Version bump and changelog completeness
SubTasks,All tests pass unit integration e2e
SubTasks,Typecheck and lint clean
SubTasks,Security scan clean
SubTasks,Performance baseline acceptable
SubTasks,Rollback plan documented
ToolPermissions,READ source config docs
ToolPermissions,EXECUTE build test lint security scan
ToolPermissions,WRITE blocked
ToolPermissions,FORBIDDEN deployment without approval
Constraints,Block release on critical findings
Constraints,Stop and Ask if rollback plan is untested
AcceptanceCriteria,CHANGELOG updated with version and date
AcceptanceCriteria,All automated gates pass
AcceptanceCriteria,No unaddressed critical high issues
AcceptanceCriteria,Rollback steps documented and tested
AcceptanceCriteria,Deployment checklist complete
