pattern,description,example
SystemContract,Set agent altitude high-level vs low-level,You are a staff engineer reviewing
SystemContract,Higher altitude = more autonomy broader scope,
SystemContract,Lower altitude = more constraints specific files,
SystemContract,Never mix altitudes in one prompt,
ContextWindow,Summarize historical context in 3-5 bullets,
ContextWindow,Reference memory files instead of inlining,
ContextWindow,Send file paths not file contents,
ContextWindow,Use deltas Since last session X changed to Y,
ToolDirectives,Explicitly state when tools may run,
ToolDirectives,State when to ask permission,
ToolDirectives,Define output schemas,
ToolDirectives,FORBIDDEN git commit push production deploy,
AcceptanceGates,Define done as checklist not vague statement,
AcceptanceGates,New code has 80% test coverage,
AcceptanceGates,Existing tests still pass,
AcceptanceGates,Lint type checks pass,
AcceptanceGates,CHANGELOG updated Conventional Commit,
AcceptanceGates,No secrets or PII in code or logs,
OutputSchema,Always request structured output,
OutputSchema,SUMMARY one-line outcome,
OutputSchema,FILES list modified created files,
OutputSchema,DIFFS unified diff per file,
OutputSchema,TESTS new updated test files,
OutputSchema,RISKS top 3 rollback conditions
